TipLabel,male_seasonal_colour,female_seasonal_colour,mating_system,paternal_care,sexual_dichromatism,log_mass,percent_ground_forage,percent_tree_cover,precipitation_seasonality,temperature_seasonality,migration,research_effort
Galerida_theklae,0,0,0,1,27.9912164,1.582063363,100,5,0.406111538,0.008662489,0,2
Heteromirafra_archeri,0,0,0,1,19.81653233,1.397940009,100,0,0.473309547,0.003573841,0,1
Heteromirafra_ruddi,0,0,0,1,19.58914114,1.424881637,40,9.5,0.527104199,0.0060026,0,1
Heteromirafra_sidamoensis,0,0,NA,1,30.83792839,1.480006943,100,9,0.535850346,0.001567912,0,1
Lullula_arborea,0,0,0,1,28.93486879,1.42975228,100,9,0.196866453,0.012902717,1,3
Melanocorypha_bimaculata,0,0,0,1,23.91022364,1.733197265,100,5,0.409241512,0.015914334,1,2
Melanocorypha_calandra,0,0,0,1,13.76619676,1.789580712,100,5,0.385659724,0.014520047,1,3
Melanocorypha_leucoptera,0,0,0,1,39.88444217,1.656098202,100,5,0.211010128,0.0212879,1,2
Melanocorypha_maxima,0,0,0,1,17.56776064,1.875061263,100,5,0.549743652,0.012232432,0,1
Melanocorypha_mongolica,0,0,0,1,40.39832269,1.733999287,100,5,0.500487,0.021300282,1,2
Melanocorypha_yeltoniensis,0,0,0,1,243.9219071,1.778513012,100,5,0.202404872,0.02141013,1,2
Mirafra_affinis,0,0,NA,1,19.73061925,1.418301291,100,12,0.68025437,0.003732009,0,1
Mirafra_africana,0,0,0,1,36.15734447,1.637708823,80,21,0.747591645,0.003136782,0,1
Mirafra_africanoides,0,0,0,1,19.87848977,1.369215857,100,12,0.756762356,0.005043088,0,1
Mirafra_albicauda,0,0,0,1,29.67917942,1.346352974,60,16,0.458627,0.001883328,0,1
Mirafra_alopex,0,0,NA,1,21.99795211,1.380211242,100,6,0.501888752,0.001801569,0,0
Mirafra_angolensis,0,0,0,1,25.35182901,1.559906625,100,49,0.93741399,0.001433379,0,1
Mirafra_apiata,0,0,0,1,10.43271569,1.43055877,100,5,0.32515794,0.00730594,0,1
Mirafra_ashi,0,0,NA,1,33.70522763,1.565847819,100,5,0.606562614,0.001325456,0,1
Mirafra_assamica,0,0,0,1,21.61382065,1.418301291,100,8,0.735794932,0.007494696,0,1
Mirafra_cantillans,0,0,0,1,36.46266485,1.271841607,100,5,0.681101978,0.00513057,0,1
Mirafra_cheniana,0,0,0,1,23.63386072,1.301029996,100,6,0.629881799,0.00661224,0,1
Mirafra_collaris,0,0,0,1,20.4024004,1.397940009,100,5,0.575504303,0.001622059,0,0
Mirafra_cordofanica,0,0,NA,1,22.60306187,1.464638559,100,0,0.691872299,0.006249691,0,1
Mirafra_erythrocephala,0,0,NA,1,37.67786308,1.418301291,100,22,0.659940273,0.002405237,0,1
Mirafra_erythroptera,0,0,0,1,49.466982,1.328379603,100,10,0.758560181,0.006633634,0,1
Mirafra_gilletti,0,0,0,1,30.97514366,1.350248018,100,3,0.537640512,0.001604968,0,1
Mirafra_hova,0,0,NA,1,24.89432435,1.276461804,60,13,0.613617539,0.003213857,0,0
Mirafra_hypermetra,0,0,0,1,27.66890807,1.788168371,100,10,0.47071144,0.001798959,0,1
Mirafra_javanica,0,0,0,1,24.96784538,1.361727836,100,11,0.514056623,0.005498832,0,2
Mirafra_microptera,0,0,NA,1,29.77298714,1.418301291,100,18,0.809018493,0.00431878,0,1
Mirafra_passerina,0,0,0,1,19.15815034,1.392696953,100,8,0.764671236,0.005262316,0,1
Mirafra_poecilosterna,0,0,0,1,17.59687198,1.392696953,100,6,0.511960238,0.001777693,0,0
Mirafra_pulpa,0,0,NA,1,23.64058872,1.340444115,100,12.5,0.41551052,0.001839867,0,1
Mirafra_rufa,0,0,NA,1,29.19737849,1.464638559,100,5,0.81968379,0.004506439,0,0
Mirafra_rufocinnamomea,0,0,0,1,22.73742089,1.419955748,100,25,0.761230886,0.002438014,0,1
Mirafra_sabota,0,0,0,1,22.40696148,1.392696953,70,6,0.714429438,0.005544615,0,1
Mirafra_somalica,0,0,0,1,12.7989318,1.668385917,100,2,0.534036577,0.001698732,0,1
Mirafra_williamsi,0,0,NA,1,36.48058667,1.464638559,100,17,0.568581462,0.001142348,0,1
Pinarocorys_erythropygia,0,0,0,1,21.19281018,1.478566496,80,23,0.743922293,0.002545031,2,0
Pinarocorys_nigricans,0,0,0,1,34.23450213,1.581494542,100,49,0.865141451,0.001437993,2,1
Pseudalaemon_fremantlii,0,0,0,1,22.10839315,1.370142847,100,5,0.523185909,0.001595182,0,0
